Freq	u_1	v_1	u_3	v_3	u_5	v_5	u_10	v_10	u_20	v_20
3	-0.0008	0.008	-0.0001	-0.0052	0	-0.0087	-5.73E-05	-0.005494897	0.0007	-0.0288
5	-0.002	0.0179	-0.001	0.0114	-0.0007	0.0003	-0.000623978	0.006033382	-0.0002	-0.0034
7	-0.0035	0.0187	-0.0015	0.0094	-0.001	-0.0027	-0.000587819	-0.015052065	-0.0009	0.0155
10	-0.0048	0.0302	-0.0028	0.035	-0.0019	0.0174	-0.001331418	0.008312921	-0.0016	0.0343
15	-0.0063	0.0046	-0.0035	0.0207	-0.0023	-0.0024	-0.001621706	-0.005173528	-0.002	0.0259
20	-0.0076	-0.0307	-0.0045	0.0115	-0.0031	0	-0.001463305	-0.036079573	-0.0022	0.0289
25	-0.0079	-0.093	-0.0055	0.0113	-0.0037	-0.0098	-0.002035873	-0.021458036	-0.002	-0.0047
30	-0.0085	-0.1399	-0.0071	0.0391	-0.0046	-0.0027	-0.003509776	0.016628574	-0.0032	0.0428
60	-0.0066	-0.5244	-0.008	-0.1273	-0.007	-0.0491	-0.005256493	-0.008612299	-0.0042	0.0377
