Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710112	1971	1	12	2.000000	7.200000	502.000000	16.299999	4.500000	5.000000	-1.000000	0.100000	0.080000	14.600000	-1.000000	-1.000000	-1.000000	0.400000	18.000000	280.000000	-1.000000	-1.000000	7.600000	2.200000	13.000000	102.000000	10.700000
19710210	1971	2	10	5.000000	8.200000	489.000000	15.300000	2.100000	22.000000	-1.000000	0.100000	0.030000	13.200000	-1.000000	-1.000000	-1.000000	0.200000	17.000000	270.000000	-1.000000	-1.000000	5.500000	2.400000	11.000000	93.000000	8.200000
19710309	1971	3	9	3.000000	8.200000	487.000000	18.200001	2.000000	1.000000	-1.000000	0.100000	0.080000	15.000000	-1.000000	-1.000000	-1.000000	0.100000	17.000000	270.000000	-1.000000	-1.000000	8.800000	2.100000	15.000000	96.000000	1.000000
19710414	1971	4	14	13.800000	8.200000	454.000000	9.600000	2.700000	15.000000	-1.000000	0.100000	0.030000	9.700000	-1.000000	-1.000000	-1.000000	0.100000	16.000000	257.000000	-1.000000	-1.000000	8.800000	2.100000	13.000000	79.000000	3.600000
19710505	1971	5	5	14.500000	8.100000	377.000000	10.700000	4.100000	6.000000	-1.000000	0.100000	0.040000	8.400000	-1.000000	-1.000000	-1.000000	0.200000	17.000000	211.000000	-1.000000	-1.000000	8.500000	2.400000	13.000000	67.000000	6.300000
19710609	1971	6	9	14.000000	8.200000	474.000000	8.700000	2.000000	14.000000	-1.000000	0.100000	0.080000	11.400000	-1.000000	-1.000000	-1.000000	0.200000	13.000000	270.000000	-1.000000	-1.000000	9.400000	2.200000	16.000000	80.000000	8.200000
19710706	1971	7	6	20.000000	8.300000	458.000000	8.700000	3.300000	13.000000	-1.000000	0.100000	0.030000	10.000000	-1.000000	-1.000000	-1.000000	0.150000	18.000000	257.000000	-1.000000	-1.000000	8.400000	2.100000	13.000000	87.000000	4.800000
19710811	1971	8	11	21.000000	8.100000	402.000000	8.700000	2.300000	17.000000	-1.000000	0.100000	0.030000	7.500000	-1.000000	-1.000000	-1.000000	0.050000	13.000000	235.000000	-1.000000	-1.000000	5.500000	2.500000	11.000000	72.699997	6.700000
19710908	1971	9	8	18.000000	8.100000	426.000000	9.700000	2.000000	17.000000	-1.000000	0.100000	0.030000	6.600000	-1.000000	-1.000000	-1.000000	0.300000	15.000000	241.000000	-1.000000	-1.000000	9.000000	2.300000	13.000000	72.000000	4.800000
19711012	1971	10	12	18.000000	8.100000	430.000000	9.900000	3.200000	16.000000	-1.000000	0.100000	0.030000	6.600000	-1.000000	-1.000000	-1.000000	0.050000	10.000000	228.000000	-1.000000	-1.000000	10.400000	2.900000	16.000000	69.900002	11.500000
