Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710311	1971	3	11	5.000000	8.100000	482.000000	14.300000	4.200000	13.000000	-1.000000	0.100000	0.080000	16.700001	-1.000000	-1.000000	-1.000000	0.500000	25.000000	241.000000	-1.000000	-1.000000	10.000000	2.800000	15.000000	90.000000	3.300000
19710611	1971	6	11	19.500000	7.800000	480.000000	7.700000	3.600000	18.000000	-1.000000	0.300000	1.600000	11.600000	-1.000000	-1.000000	-1.000000	0.600000	16.000000	263.000000	-1.000000	-1.000000	10.300000	2.400000	16.000000	87.000000	14.500000
19710910	1971	9	10	19.000000	8.000000	444.000000	8.200000	5.700000	23.000000	-1.000000	0.600000	0.080000	8.300000	-1.000000	-1.000000	-1.000000	0.600000	20.000000	238.000000	-1.000000	-1.000000	9.300000	3.000000	16.000000	79.900002	7.200000
19711210	1971	12	10	7.000000	7.700000	497.000000	10.100000	11.000000	7.000000	-1.000000	0.900000	0.240000	14.900000	-1.000000	-1.000000	-1.000000	0.050000	20.000000	255.000000	-1.000000	-1.000000	13.100000	4.200000	18.000000	90.599998	10.000000
19720114	1972	1	14	8.000000	7.700000	522.000000	9.900000	6.800000	6.000000	-1.000000	1.300000	0.160000	17.600000	-1.000000	-1.000000	-1.000000	0.900000	24.000000	272.000000	-1.000000	-1.000000	13.500000	3.300000	19.000000	91.400002	9.700000
19720210	1972	2	10	7.000000	7.700000	536.000000	11.100000	10.100000	19.000000	-1.000000	0.100000	0.320000	15.800000	-1.000000	-1.000000	-1.000000	0.900000	28.000000	274.000000	-1.000000	-1.000000	12.700000	3.400000	21.000000	92.800003	5.300000
19720309	1972	3	9	7.000000	7.800000	519.000000	11.400000	6.400000	12.000000	-1.000000	0.600000	0.300000	19.799999	-1.000000	-1.000000	-1.000000	0.600000	28.000000	252.000000	-1.000000	-1.000000	12.300000	3.000000	19.000000	102.000000	8.700000
19720411	1972	4	11	11.000000	8.200000	475.000000	10.100000	6.600000	16.000000	-1.000000	0.300000	0.160000	14.500000	-1.000000	-1.000000	-1.000000	0.500000	28.000000	237.000000	-1.000000	-1.000000	10.500000	2.000000	17.000000	87.800003	14.400000
19720508	1972	5	8	16.000000	8.000000	330.000000	8.800000	4.300000	20.000000	-1.000000	0.100000	0.240000	10.000000	-1.000000	-1.000000	-1.000000	0.800000	21.000000	220.000000	-1.000000	-1.000000	9.600000	2.300000	15.000000	72.099998	9.100000
19720608	1972	6	8	16.000000	8.300000	440.000000	8.500000	2.500000	10.000000	-1.000000	0.900000	0.320000	8.800000	-1.000000	-1.000000	-1.000000	1.200000	23.000000	218.000000	-1.000000	-1.000000	11.300000	2.800000	18.000000	74.199997	21.600000
19720706	1972	7	6	19.000000	7.600000	435.000000	4.800000	2.400000	23.000000	-1.000000	0.900000	0.240000	7.400000	-1.000000	-1.000000	-1.000000	1.100000	23.000000	222.000000	-1.000000	-1.000000	11.300000	2.700000	17.000000	72.099998	10.800000
19720804	1972	8	4	18.000000	7.700000	461.000000	6.000000	1.500000	17.000000	-1.000000	0.600000	0.240000	8.800000	-1.000000	-1.000000	-1.000000	1.100000	25.000000	237.000000	-1.000000	-1.000000	12.300000	3.100000	20.000000	73.500000	8.200000
19720912	1972	9	12	16.000000	8.000000	446.000000	7.400000	2.100000	14.000000	-1.000000	0.600000	0.080000	10.100000	-1.000000	-1.000000	-1.000000	0.500000	20.000000	230.000000	-1.000000	-1.000000	10.000000	2.600000	19.000000	70.000000	10.800000
19721010	1972	10	10	15.000000	7.900000	437.000000	8.600000	4.600000	17.000000	-1.000000	0.900000	0.080000	8.300000	-1.000000	-1.000000	-1.000000	1.600000	21.000000	222.000000	-1.000000	-1.000000	18.299999	3.100000	16.000000	71.300003	11.100000
