Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710113	1971	1	13	4.000000	7.900000	510.000000	8.700000	2.600000	4.000000	-1.000000	0.100000	0.120000	12.300000	-1.000000	-1.000000	-1.000000	1.000000	21.000000	276.000000	-1.000000	-1.000000	12.500000	2.500000	16.000000	91.000000	12.100000
19710209	1971	2	9	5.000000	8.100000	489.000000	10.800000	4.700000	17.000000	-1.000000	0.100000	0.080000	6.600000	-1.000000	-1.000000	-1.000000	0.150000	20.000000	257.000000	-1.000000	-1.000000	7.500000	2.300000	14.000000	91.500000	4.800000
19710308	1971	3	8	2.000000	7.700000	552.000000	15.500000	3.700000	1.000000	-1.000000	0.400000	0.160000	13.200000	-1.000000	-1.000000	-1.000000	0.600000	26.000000	278.000000	-1.000000	-1.000000	25.000000	2.600000	24.000000	91.000000	8.700000
19710415	1971	4	15	12.900000	7.800000	497.000000	10.000000	2.700000	3.000000	-1.000000	0.100000	0.240000	10.200000	-1.000000	-1.000000	-1.000000	0.700000	20.000000	261.000000	-1.000000	-1.000000	11.900000	3.000000	15.000000	75.000000	11.400000
19710504	1971	5	4	15.000000	7.800000	485.000000	4.200000	4.800000	14.000000	-1.000000	0.200000	0.160000	7.500000	-1.000000	-1.000000	-1.000000	1.050000	21.000000	263.000000	-1.000000	-1.000000	21.000000	3.000000	21.000000	77.000000	11.600000
19710608	1971	6	8	16.700001	7.500000	527.000000	5.200000	1.600000	4.000000	-1.000000	0.100000	0.240000	8.300000	-1.000000	-1.000000	-1.000000	0.600000	17.000000	300.000000	-1.000000	-1.000000	14.400000	2.600000	16.000000	80.500000	12.600000
19710707	1971	7	7	18.000000	8.000000	463.000000	6.200000	2.000000	48.000000	-1.000000	0.100000	0.160000	8.300000	-1.000000	-1.000000	-1.000000	0.050000	19.000000	259.000000	-1.000000	-1.000000	9.000000	1.900000	14.000000	87.000000	7.700000
19710810	1971	8	10	19.000000	7.800000	407.000000	7.200000	1.100000	3.000000	-1.000000	0.100000	0.160000	6.100000	-1.000000	-1.000000	-1.000000	0.100000	12.000000	245.000000	-1.000000	-1.000000	5.000000	2.400000	9.000000	72.199997	14.300000
19710907	1971	9	7	18.000000	7.700000	382.000000	7.300000	1.900000	12.000000	-1.000000	0.100000	0.160000	6.100000	-1.000000	-1.000000	-1.000000	0.400000	14.000000	217.000000	-1.000000	-1.000000	6.500000	2.100000	11.000000	65.000000	7.700000
19711013	1971	10	13	15.000000	7.800000	391.000000	6.500000	1.800000	10.000000	-1.000000	0.100000	0.090000	4.800000	-1.000000	-1.000000	-1.000000	0.400000	20.000000	206.000000	-1.000000	-1.000000	10.500000	2.200000	14.000000	61.400002	6.200000
19711116	1971	11	16	8.000000	8.100000	382.000000	7.600000	1.600000	5.000000	-1.000000	0.300000	0.160000	7.400000	-1.000000	-1.000000	-1.000000	0.450000	10.000000	246.000000	-1.000000	-1.000000	12.400000	2.400000	13.000000	84.199997	8.100000
19711207	1971	12	7	6.000000	7.800000	508.000000	9.200000	4.500000	4.000000	-1.000000	0.300000	0.080000	11.800000	-1.000000	-1.000000	-1.000000	0.300000	15.000000	289.000000	-1.000000	-1.000000	9.700000	2.100000	15.000000	87.800003	6.700000
19720112	1972	1	12	8.000000	7.900000	530.000000	6.900000	3.300000	4.000000	-1.000000	0.600000	0.160000	10.500000	-1.000000	-1.000000	-1.000000	1.050000	17.000000	296.000000	-1.000000	-1.000000	17.200001	3.000000	19.000000	91.300003	9.600000
19720208	1972	2	8	9.000000	7.900000	547.000000	6.600000	3.300000	4.000000	-1.000000	0.100000	0.160000	12.300000	-1.000000	-1.000000	-1.000000	0.400000	21.000000	281.000000	-1.000000	-1.000000	22.200001	2.500000	23.000000	92.800003	3.900000
19720307	1972	3	7	6.000000	7.800000	532.000000	8.200000	7.100000	6.000000	-1.000000	0.400000	0.030000	14.900000	-1.000000	-1.000000	-1.000000	0.700000	19.000000	279.000000	-1.000000	-1.000000	16.400000	3.500000	19.000000	92.099998	8.200000
19720407	1972	4	7	12.000000	7.800000	558.000000	6.900000	3.900000	7.000000	-1.000000	0.100000	0.480000	12.300000	-1.000000	-1.000000	-1.000000	0.900000	23.000000	283.000000	-1.000000	-1.000000	22.799999	2.400000	27.000000	89.900002	3.300000
19720504	1972	5	4	14.000000	7.900000	510.000000	6.400000	2.400000	11.000000	-1.000000	0.100000	0.320000	10.100000	-1.000000	-1.000000	-1.000000	1.700000	17.000000	268.000000	-1.000000	-1.000000	13.300000	2.500000	17.000000	80.599998	13.900000
19720606	1972	6	6	15.000000	7.900000	558.000000	5.700000	4.700000	8.000000	-1.000000	1.600000	0.250000	8.800000	-1.000000	-1.000000	-1.000000	3.000000	24.000000	268.000000	-1.000000	-1.000000	23.000000	2.900000	28.000000	84.199997	4.300000
19720704	1972	7	4	16.000000	7.800000	446.000000	4.500000	3.300000	42.000000	-1.000000	0.600000	0.320000	6.100000	-1.000000	-1.000000	-1.000000	1.200000	17.000000	244.000000	-1.000000	-1.000000	8.800000	1.900000	13.000000	74.199997	12.900000
19720802	1972	8	2	16.000000	7.900000	407.000000	7.000000	2.000000	16.000000	-1.000000	0.100000	0.030000	5.300000	-1.000000	-1.000000	-1.000000	0.700000	14.000000	235.000000	-1.000000	-1.000000	6.300000	2.000000	11.000000	72.800003	4.800000
19720907	1972	9	7	17.000000	7.800000	375.000000	6.700000	0.700000	26.000000	-1.000000	0.100000	0.080000	5.300000	-1.000000	-1.000000	-1.000000	0.750000	17.000000	200.000000	-1.000000	-1.000000	9.300000	1.800000	14.000000	65.599998	6.300000
19721004	1972	10	4	12.000000	7.800000	400.000000	7.300000	1.600000	20.000000	-1.000000	0.100000	0.160000	4.400000	-1.000000	-1.000000	-1.000000	1.100000	16.000000	211.000000	-1.000000	-1.000000	10.000000	1.700000	15.000000	61.400002	8.600000
19721109	1972	11	9	12.000000	7.800000	502.000000	5.900000	2.500000	5.000000	-1.000000	0.200000	0.240000	5.200000	-1.000000	-1.000000	-1.000000	0.800000	25.000000	259.000000	-1.000000	-1.000000	27.000000	3.000000	26.000000	75.599998	7.600000
19721207	1972	12	7	10.000000	7.800000	536.000000	9.200000	1.900000	18.000000	-1.000000	0.100000	0.080000	17.100000	-1.000000	-1.000000	-1.000000	0.500000	21.000000	285.000000	-1.000000	-1.000000	3.200000	2.200000	17.000000	96.300003	6.200000
19730104	1973	1	4	5.000000	7.800000	569.000000	9.400000	2.100000	3.000000	-1.000000	0.100000	0.160000	11.400000	-1.000000	-1.000000	-1.000000	0.700000	23.000000	288.000000	-1.000000	-1.000000	17.299999	2.700000	23.000000	92.000000	12.000000
19730208	1973	2	8	6.000000	8.000000	528.000000	9.500000	2.800000	25.000000	-1.000000	0.100000	0.080000	16.700001	-1.000000	-1.000000	-1.000000	0.400000	21.000000	272.000000	-1.000000	-1.000000	9.300000	1.900000	15.000000	95.800003	9.600000
19730308	1973	3	8	7.000000	7.900000	558.000000	8.700000	3.000000	13.000000	-1.000000	0.100000	0.240000	17.200001	-1.000000	-1.000000	-1.000000	0.350000	25.000000	274.000000	-1.000000	-1.000000	16.400000	2.200000	23.000000	92.199997	10.100000
19730405	1973	4	5	9.000000	7.800000	560.000000	7.400000	2.900000	5.000000	-1.000000	0.100000	0.320000	13.600000	-1.000000	-1.000000	-1.000000	0.600000	26.000000	273.000000	-1.000000	-1.000000	16.200001	2.400000	25.000000	87.500000	12.000000
