Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710112	1971	1	12	2.000000	7.200000	449.000000	14.800000	4.500000	3.000000	-1.000000	0.100000	0.080000	14.600000	-1.000000	-1.000000	-1.000000	0.400000	14.000000	243.000000	-1.000000	-1.000000	6.700000	2.200000	12.000000	83.500000	10.100000
19710210	1971	2	10	5.000000	8.200000	413.000000	16.700001	2.300000	11.000000	-1.000000	0.100000	0.030000	15.800000	-1.000000	-1.000000	-1.000000	0.150000	14.000000	217.000000	-1.000000	-1.000000	5.500000	2.600000	10.000000	74.400002	11.600000
19710309	1971	3	9	3.000000	8.100000	426.000000	18.600000	2.700000	5.000000	-1.000000	0.100000	0.080000	11.000000	-1.000000	-1.000000	-1.000000	0.100000	12.000000	239.000000	-1.000000	-1.000000	6.700000	2.300000	11.000000	78.000000	5.400000
19710414	1971	4	14	13.500000	8.100000	354.000000	10.400000	4.600000	21.000000	-1.000000	0.100000	0.030000	8.800000	-1.000000	-1.000000	-1.000000	0.300000	13.000000	198.000000	-1.000000	-1.000000	6.500000	2.300000	9.000000	61.500000	10.800000
19710505	1971	5	5	15.500000	8.000000	348.000000	9.800000	4.000000	16.000000	-1.000000	0.100000	0.080000	8.800000	-1.000000	-1.000000	-1.000000	0.500000	12.000000	185.000000	-1.000000	-1.000000	6.100000	2.500000	10.000000	56.500000	9.700000
19710609	1971	6	9	19.000000	8.000000	413.000000	9.000000	2.200000	15.000000	-1.000000	0.100000	0.080000	11.900000	-1.000000	-1.000000	-1.000000	0.200000	13.000000	235.000000	-1.000000	-1.000000	7.000000	2.600000	11.000000	68.000000	10.600000
19710706	1971	7	6	21.000000	8.100000	344.000000	8.800000	4.500000	18.000000	-1.000000	0.100000	0.030000	7.500000	-1.000000	-1.000000	-1.000000	0.150000	13.000000	189.000000	-1.000000	-1.000000	6.100000	2.100000	10.000000	52.000000	21.000000
19710811	1971	8	11	22.000000	8.200000	352.000000	9.000000	2.200000	35.000000	-1.000000	0.100000	0.030000	5.700000	-1.000000	-1.000000	-1.000000	0.050000	11.000000	211.000000	-1.000000	-1.000000	5.500000	2.500000	10.000000	63.200001	8.500000
19710908	1971	9	8	18.000000	8.400000	357.000000	9.900000	3.900000	19.000000	-1.000000	0.100000	0.030000	7.900000	-1.000000	-1.000000	-1.000000	0.400000	15.000000	204.000000	-1.000000	-1.000000	6.600000	2.500000	9.000000	63.500000	5.300000
19711012	1971	10	12	17.500000	8.300000	396.000000	10.400000	4.100000	19.000000	-1.000000	0.100000	0.030000	8.300000	-1.000000	-1.000000	-1.000000	0.050000	10.000000	222.000000	-1.000000	-1.000000	8.000000	3.300000	13.000000	67.099998	7.600000
19711117	1971	11	17	7.500000	8.100000	437.000000	11.200000	3.300000	12.000000	-1.000000	0.100000	0.030000	11.400000	-1.000000	-1.000000	-1.000000	0.970000	10.000000	243.000000	-1.000000	-1.000000	8.900000	3.500000	11.000000	72.800003	7.200000
19711208	1971	12	8	5.000000	8.000000	407.000000	13.200000	6.000000	10.000000	-1.000000	0.100000	0.060000	14.000000	-1.000000	-1.000000	-1.000000	0.500000	14.000000	217.000000	-1.000000	-1.000000	7.000000	2.700000	12.000000	68.400002	11.100000
19720113	1972	1	13	5.000000	8.000000	426.000000	12.400000	3.900000	11.000000	-1.000000	0.100000	0.240000	14.500000	-1.000000	-1.000000	-1.000000	0.400000	13.000000	237.000000	-1.000000	-1.000000	8.100000	2.700000	12.000000	72.800003	9.600000
19720209	1972	2	9	6.000000	8.100000	444.000000	12.100000	3.400000	11.000000	-1.000000	0.100000	0.030000	16.700001	-1.000000	-1.000000	-1.000000	0.500000	16.000000	248.000000	-1.000000	-1.000000	7.500000	2.600000	12.000000	83.500000	2.800000
19720308	1972	3	8	8.000000	8.300000	430.000000	11.600000	3.000000	32.000000	-1.000000	0.100000	0.080000	15.800000	-1.000000	-1.000000	-1.000000	0.300000	16.000000	237.000000	-1.000000	-1.000000	7.200000	2.300000	11.000000	84.900002	2.400000
19720410	1972	4	10	12.000000	8.300000	393.000000	12.400000	5.100000	40.000000	-1.000000	0.100000	0.030000	12.300000	-1.000000	-1.000000	-1.000000	0.400000	17.000000	211.000000	-1.000000	-1.000000	5.900000	1.400000	11.000000	73.500000	6.200000
19720505	1972	5	5	13.000000	8.300000	379.000000	11.100000	5.100000	34.000000	-1.000000	0.100000	0.030000	9.600000	-1.000000	-1.000000	-1.000000	0.400000	13.000000	204.000000	-1.000000	-1.000000	6.500000	2.000000	11.000000	64.199997	9.600000
19720607	1972	6	7	17.000000	8.000000	305.000000	9.000000	3.600000	10.000000	-1.000000	0.100000	0.080000	5.200000	-1.000000	-1.000000	-1.000000	0.050000	10.000000	159.000000	-1.000000	-1.000000	5.500000	1.800000	10.000000	49.900002	6.000000
19720705	1972	7	5	18.000000	8.100000	371.000000	7.800000	0.900000	13.000000	-1.000000	0.100000	0.160000	7.000000	-1.000000	-1.000000	-1.000000	1.000000	14.000000	207.000000	-1.000000	-1.000000	7.400000	2.200000	12.000000	64.199997	4.800000
19720803	1972	8	3	18.000000	8.200000	348.000000	8.500000	2.000000	18.000000	-1.000000	0.100000	0.030000	6.200000	-1.000000	-1.000000	-1.000000	0.400000	13.000000	200.000000	-1.000000	-1.000000	6.900000	2.500000	10.000000	62.099998	9.100000
19720908	1972	9	8	19.000000	8.300000	371.000000	9.300000	2.200000	17.000000	-1.000000	0.100000	0.030000	8.800000	-1.000000	-1.000000	-1.000000	0.200000	13.000000	207.000000	-1.000000	-1.000000	6.100000	2.300000	10.000000	65.000000	11.000000
19721005	1972	10	5	13.000000	8.200000	355.000000	10.500000	6.000000	25.000000	-1.000000	0.100000	0.080000	7.400000	-1.000000	-1.000000	-1.000000	1.000000	9.000000	198.000000	-1.000000	-1.000000	7.200000	2.300000	12.000000	55.599998	14.400000
19721110	1972	11	10	10.000000	7.900000	385.000000	10.700000	5.500000	31.000000	-1.000000	0.100000	0.030000	7.000000	-1.000000	-1.000000	-1.000000	0.300000	10.000000	213.000000	-1.000000	-1.000000	8.900000	2.900000	14.000000	62.099998	12.000000
19721208	1972	12	8	8.000000	8.000000	444.000000	10.800000	3.000000	30.000000	-1.000000	0.100000	0.060000	14.500000	-1.000000	-1.000000	-1.000000	0.300000	17.000000	244.000000	-1.000000	-1.000000	7.000000	2.800000	14.000000	75.599998	13.400000
19730105	1973	1	5	4.000000	8.100000	422.000000	12.400000	2.800000	4.000000	-1.000000	0.100000	0.030000	14.500000	-1.000000	-1.000000	-1.000000	0.300000	15.000000	222.000000	-1.000000	-1.000000	6.400000	2.200000	11.000000	76.199997	12.000000
19730213	1973	2	13	5.000000	8.100000	435.000000	12.000000	3.700000	19.000000	-1.000000	0.100000	0.050000	17.200001	-1.000000	-1.000000	-1.000000	0.400000	17.000000	231.000000	-1.000000	-1.000000	5.500000	2.000000	12.000000	81.400002	18.000000
19730309	1973	3	9	7.000000	8.100000	442.000000	11.000000	2.700000	19.000000	-1.000000	0.100000	0.030000	15.400000	-1.000000	-1.000000	-1.000000	0.200000	16.000000	242.000000	-1.000000	-1.000000	5.200000	1.300000	11.000000	79.000000	19.299999
19730406	1973	4	6	11.000000	8.400000	423.000000	10.200000	3.900000	25.000000	-1.000000	0.100000	0.050000	12.300000	-1.000000	-1.000000	-1.000000	0.100000	13.000000	228.000000	-1.000000	-1.000000	5.700000	2.000000	11.000000	73.599998	8.700000
19730511	1973	5	11	14.000000	8.300000	422.000000	10.200000	3.800000	18.000000	-1.000000	0.200000	0.080000	9.300000	-1.000000	-1.000000	-1.000000	0.400000	16.000000	229.000000	-1.000000	-1.000000	7.000000	2.500000	13.000000	78.500000	8.000000
19730612	1973	6	12	20.000000	7.900000	374.000000	8.800000	2.900000	6.000000	-1.000000	0.100000	0.080000	8.800000	-1.000000	-1.000000	-1.000000	0.200000	14.000000	202.000000	-1.000000	-1.000000	5.700000	2.500000	10.000000	63.200001	7.700000
19730706	1973	7	6	24.000000	8.000000	408.000000	7.200000	2.100000	121.000000	-1.000000	0.100000	0.080000	6.600000	-1.000000	-1.000000	-1.000000	0.150000	15.000000	231.000000	-1.000000	-1.000000	7.500000	2.400000	13.000000	64.300003	14.400000
19730803	1973	8	3	-1.000000	8.400000	343.000000	-1.000000	2.800000	19.000000	-1.000000	0.100000	0.030000	4.400000	-1.000000	-1.000000	-1.000000	0.100000	12.000000	177.000000	-1.000000	-1.000000	7.100000	2.500000	12.000000	55.200001	5.300000
19730907	1973	9	7	-1.000000	8.500000	353.000000	9.800000	3.300000	13.000000	-1.000000	0.200000	0.050000	4.000000	-1.000000	-1.000000	-1.000000	0.100000	12.000000	203.000000	-1.000000	-1.000000	7.800000	2.300000	11.000000	59.299999	5.300000
19731005	1973	10	5	10.000000	8.200000	341.000000	11.300000	5.300000	16.000000	-1.000000	0.100000	0.080000	6.600000	-1.000000	-1.000000	-1.000000	0.200000	10.000000	189.000000	-1.000000	-1.000000	6.400000	3.500000	13.000000	57.400002	6.300000
19731109	1973	11	9	-1.000000	8.000000	394.000000	11.700000	6.000000	12.000000	-1.000000	0.100000	0.030000	9.300000	-1.000000	-1.000000	-1.000000	0.200000	13.000000	209.000000	-1.000000	-1.000000	8.700000	2.900000	14.000000	72.099998	12.100000
19731207	1973	12	7	4.000000	8.000000	424.000000	12.900000	3.700000	11.000000	-1.000000	0.100000	0.080000	11.000000	-1.000000	-1.000000	-1.000000	0.200000	14.000000	224.000000	-1.000000	-1.000000	9.300000	3.800000	15.000000	71.300003	4.900000
19740111	1974	1	11	8.000000	8.100000	435.000000	10.900000	3.500000	36.000000	-1.000000	0.100000	0.030000	16.700001	-1.000000	-1.000000	-1.000000	0.300000	16.000000	231.000000	-1.000000	-1.000000	6.700000	2.400000	13.000000	76.300003	3.800000
19740208	1974	2	8	6.000000	8.000000	315.000000	11.300000	3.600000	170.000000	-1.000000	0.100000	0.030000	11.400000	-1.000000	-1.000000	-1.000000	0.400000	32.000000	143.000000	-1.000000	-1.000000	5.100000	3.300000	10.000000	51.799999	9.600000
19740308	1974	3	8	5.000000	8.100000	419.000000	11.600000	4.800000	8.000000	-1.000000	0.100000	0.080000	14.900000	-1.000000	-1.000000	-1.000000	0.200000	15.000000	217.000000	-1.000000	-1.000000	6.100000	2.100000	12.000000	71.400002	5.700000
19740405	1974	4	5	13.000000	8.100000	434.000000	9.800000	2.700000	15.000000	-1.000000	0.100000	0.080000	16.200001	-1.000000	-1.000000	-1.000000	0.250000	13.000000	231.000000	-1.000000	-1.000000	5.300000	1.700000	11.000000	83.300003	6.700000
19740510	1974	5	10	14.000000	8.400000	394.000000	9.900000	5.600000	25.000000	-1.000000	0.100000	0.030000	12.300000	-1.000000	-1.000000	-1.000000	0.050000	15.000000	209.000000	-1.000000	-1.000000	6.700000	2.000000	12.000000	45.599998	2.800000
19740607	1974	6	7	18.000000	7.900000	400.000000	7.400000	2.200000	11.000000	-1.000000	0.100000	0.080000	10.100000	-1.000000	-1.000000	-1.000000	0.200000	14.000000	215.000000	-1.000000	-1.000000	6.000000	2.100000	14.000000	71.199997	3.300000
19740705	1974	7	5	20.000000	8.200000	444.000000	8.000000	1.100000	12.000000	-1.000000	0.100000	0.030000	8.300000	-1.000000	-1.000000	-1.000000	0.350000	12.000000	246.000000	-1.000000	-1.000000	8.200000	2.300000	14.000000	72.900002	3.800000
19740809	1974	8	9	21.000000	7.900000	349.000000	8.300000	1.200000	8.000000	-1.000000	0.300000	0.080000	5.700000	-1.000000	-1.000000	-1.000000	0.250000	14.000000	196.000000	-1.000000	-1.000000	8.000000	2.300000	11.000000	54.500000	3.400000
19740906	1974	9	6	18.000000	8.000000	334.000000	9.100000	1.700000	17.000000	-1.000000	0.100000	0.030000	4.400000	-1.000000	-1.000000	-1.000000	0.100000	12.000000	180.000000	-1.000000	-1.000000	9.000000	2.500000	13.000000	32.799999	9.200000
19741011	1974	10	11	10.500000	7.900000	377.000000	9.900000	2.400000	44.000000	-1.000000	0.100000	0.050000	15.800000	-1.000000	-1.000000	-1.000000	0.350000	15.000000	65.000000	-1.000000	-1.000000	6.000000	2.600000	12.000000	64.099998	7.200000
19741108	1974	11	8	7.000000	8.000000	440.000000	11.300000	2.300000	25.000000	-1.000000	0.100000	0.030000	18.000000	-1.000000	-1.000000	-1.000000	0.300000	21.000000	218.000000	-1.000000	-1.000000	5.100000	2.500000	12.000000	76.800003	3.300000
19741206	1974	12	6	9.800000	8.100000	437.000000	10.600000	2.500000	25.000000	-1.000000	0.300000	0.080000	16.700001	-1.000000	-1.000000	-1.000000	0.350000	14.000000	244.000000	-1.000000	-1.000000	5.500000	2.700000	11.000000	80.099998	6.300000
19750110	1975	1	10	7.400000	8.100000	414.000000	10.800000	2.700000	22.000000	-1.000000	0.300000	0.030000	18.000000	-1.000000	-1.000000	-1.000000	0.335000	13.000000	233.000000	-1.000000	-1.000000	5.000000	1.800000	11.000000	71.000000	7.200000
19750207	1975	2	7	7.000000	8.100000	429.000000	11.100000	2.100000	16.000000	-1.000000	0.100000	0.080000	13.500000	-1.000000	-1.000000	-1.000000	0.268000	13.000000	258.000000	-1.000000	-1.000000	5.000000	1.800000	11.000000	78.000000	5.300000
