Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19770920	1977	9	20	16.600000	7.900000	661.000000	3.100000	7.000000	28.000000	-1.000000	0.450000	0.800000	11.000000	1.600000	-1.000000	-1.000000	3.700000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	30.000000	-1.000000	-1.000000
19771011	1977	10	11	15.400000	7.900000	538.000000	3.000000	12.300000	16.000000	-1.000000	4.000000	0.500000	12.500000	-1.000000	-1.000000	-1.000000	1.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	23.000000	-1.000000	-1.000000
19771103	1977	11	3	15.200000	7.800000	605.000000	1.600000	6.600000	14.000000	-1.000000	3.000000	0.500000	14.000000	8.300000	-1.000000	-1.000000	2.800000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	24.000000	-1.000000	-1.000000
19771206	1977	12	6	5.800000	8.100000	579.000000	10.000000	9.600000	27.000000	-1.000000	1.400000	0.250000	20.000000	3.800000	-1.000000	-1.000000	0.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	18.000000	-1.000000	-1.000000
19780103	1978	1	3	8.200000	8.200000	600.000000	7.800000	7.500000	45.000000	-1.000000	4.500000	0.350000	15.500000	5.200000	-1.000000	-1.000000	1.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	24.000000	-1.000000	-1.000000
19780207	1978	2	7	5.700000	8.200000	481.000000	8.800000	6.000000	90.000000	-1.000000	0.500000	0.150000	17.500000	2.400000	-1.000000	-1.000000	0.450000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	15.000000	-1.000000	-1.000000
19780307	1978	3	7	8.700000	8.000000	533.000000	8.600000	5.200000	48.000000	-1.000000	0.200000	0.200000	19.000000	1.600000	-1.000000	-1.000000	0.420000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19780411	1978	4	11	9.000000	8.200000	496.000000	8.200000	5.000000	55.000000	-1.000000	0.200000	0.200000	19.000000	1.700000	-1.000000	-1.000000	0.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	16.000000	-1.000000	-1.000000
19780509	1978	5	9	14.200000	8.000000	489.000000	8.100000	6.600000	10.000000	-1.000000	1.300000	0.660000	19.500000	1.300000	-1.000000	-1.000000	0.980000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	23.000000	-1.000000	-1.000000
19780606	1978	6	6	20.700001	7.700000	578.000000	4.200000	5.000000	4.000000	-1.000000	1.700000	0.170000	11.900000	2.500000	-1.000000	-1.000000	0.950000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	19.299999	-1.000000	-1.000000
19780620	1978	6	20	18.900000	7.900000	504.000000	6.000000	8.400000	-1.000000	-1.000000	1.900000	1.000000	16.799999	2.200000	-1.000000	-1.000000	1.800000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780704	1978	7	4	18.400000	7.500000	623.000000	4.000000	3.800000	18.000000	-1.000000	1.950000	1.780000	11.000000	3.600000	-1.000000	-1.000000	1.660000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	25.600000	-1.000000	-1.000000
19780720	1978	7	20	19.299999	8.000000	562.000000	6.000000	3.800000	-1.000000	-1.000000	2.000000	0.660000	16.000000	2.100000	-1.000000	-1.000000	2.250000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780801	1978	8	1	21.799999	7.500000	580.000000	-1.000000	4.200000	12.000000	-1.000000	1.650000	0.470000	12.400000	3.300000	-1.000000	-1.000000	1.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	24.200001	-1.000000	-1.000000
19780823	1978	8	23	20.799999	8.000000	560.000000	6.400000	4.100000	-1.000000	-1.000000	2.200000	0.660000	14.200000	1.900000	-1.000000	-1.000000	2.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
