Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19770607	1977	6	7	17.900000	8.200000	559.000000	8.600000	4.200000	53.000000	-1.000000	0.850000	0.250000	10.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	19.000000	-1.000000	-1.000000
19770614	1977	6	14	19.400000	8.100000	586.000000	8.300000	2.700000	28.000000	-1.000000	0.600000	0.400000	11.000000	-1.000000	-1.000000	-1.000000	0.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	18.000000	-1.000000	-1.000000
19770621	1977	6	21	15.200000	8.200000	585.000000	8.200000	3.500000	10.000000	-1.000000	1.500000	0.500000	10.000000	-1.000000	-1.000000	-1.000000	0.770000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	20.000000	-1.000000	-1.000000
19770628	1977	6	28	18.000000	8.000000	595.000000	8.800000	4.000000	16.000000	-1.000000	0.750000	0.450000	-1.000000	-1.000000	-1.000000	-1.000000	0.700000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	19.000000	-1.000000	-1.000000
19770705	1977	7	5	20.700001	8.200000	609.000000	7.800000	3.100000	10.000000	-1.000000	0.450000	0.500000	13.000000	-1.000000	-1.000000	-1.000000	0.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	18.000000	-1.000000	-1.000000
19770712	1977	7	12	21.500000	8.000000	595.000000	7.000000	3.300000	20.000000	-1.000000	0.400000	0.450000	10.000000	-1.000000	-1.000000	-1.000000	0.170000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19770726	1977	7	26	20.200001	7.900000	538.000000	7.300000	1.600000	17.000000	-1.000000	0.250000	0.450000	9.000000	-1.000000	-1.000000	-1.000000	0.180000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19770802	1977	8	2	20.100000	8.000000	552.000000	8.900000	2.500000	17.000000	-1.000000	0.250000	0.490000	13.000000	-1.000000	-1.000000	-1.000000	0.700000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	16.000000	-1.000000	-1.000000
19770809	1977	8	9	21.500000	8.000000	547.000000	8.200000	1.700000	23.000000	-1.000000	0.300000	0.300000	12.000000	-1.000000	-1.000000	-1.000000	0.750000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19770817	1977	8	17	21.500000	8.300000	554.000000	8.200000	3.000000	10.000000	-1.000000	0.200000	0.230000	9.000000	-1.000000	-1.000000	-1.000000	0.660000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	16.000000	-1.000000	-1.000000
19770823	1977	8	23	18.299999	8.200000	532.000000	7.600000	2.200000	23.000000	-1.000000	0.050000	0.230000	9.000000	-1.000000	-1.000000	-1.000000	0.550000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	15.000000	-1.000000	-1.000000
19770830	1977	8	30	18.799999	8.000000	497.000000	9.000000	2.800000	30.000000	-1.000000	0.100000	0.230000	10.000000	-1.000000	-1.000000	-1.000000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	15.000000	-1.000000	-1.000000
19770906	1977	9	6	19.500000	8.300000	530.000000	8.900000	2.300000	18.000000	-1.000000	0.400000	0.300000	11.000000	-1.000000	-1.000000	-1.000000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19770913	1977	9	13	17.500000	8.200000	522.000000	8.800000	1.400000	21.000000	-1.000000	0.500000	0.300000	17.000000	-1.000000	-1.000000	-1.000000	0.590000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	17.000000	-1.000000	-1.000000
19770920	1977	9	20	16.299999	8.200000	519.000000	9.400000	2.600000	21.000000	-1.000000	0.600000	0.250000	7.000000	1.600000	-1.000000	-1.000000	1.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	15.000000	-1.000000	-1.000000
19770927	1977	9	27	16.200001	8.300000	513.000000	8.800000	3.400000	18.000000	-1.000000	0.500000	0.200000	8.000000	-1.000000	-1.000000	-1.000000	0.100000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	16.000000	-1.000000	-1.000000
19771003	1977	10	3	15.000000	8.100000	518.000000	9.400000	3.800000	22.000000	-1.000000	0.600000	0.150000	10.000000	-1.000000	-1.000000	-1.000000	0.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	20.000000	-1.000000	-1.000000
19771011	1977	10	11	15.000000	8.100000	511.000000	7.000000	4.300000	12.000000	-1.000000	0.700000	0.250000	10.000000	-1.000000	-1.000000	-1.000000	0.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	18.000000	-1.000000	-1.000000
