Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19780518	1978	5	18	15.000000	8.300000	504.000000	9.200000	2.500000	-1.000000	-1.000000	0.100000	0.080000	8.000000	0.500000	-1.000000	-1.000000	0.380000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780612	1978	6	12	17.799999	8.000000	555.000000	8.200000	1.600000	-1.000000	-1.000000	0.200000	0.160000	13.700000	0.500000	-1.000000	-1.000000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780706	1978	7	6	15.900000	8.300000	522.000000	8.100000	3.400000	-1.000000	-1.000000	0.100000	0.250000	13.300000	2.400000	-1.000000	-1.000000	0.580000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780807	1978	8	7	17.299999	7.800000	556.000000	8.000000	2.300000	-1.000000	-1.000000	0.150000	0.080000	13.300000	0.500000	-1.000000	-1.000000	0.560000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19780918	1978	9	18	16.700001	8.300000	681.000000	8.000000	1.200000	-1.000000	-1.000000	0.100000	0.250000	14.200000	1.300000	-1.000000	-1.000000	0.650000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19781011	1978	10	11	14.800000	8.200000	703.000000	8.200000	3.600000	-1.000000	-1.000000	0.450000	0.660000	15.100000	1.800000	-1.000000	-1.000000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19781128	1978	11	28	8.100000	8.100000	671.000000	8.900000	3.400000	-1.000000	-1.000000	0.300000	0.250000	16.400000	2.000000	-1.000000	-1.000000	0.450000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19790508	1979	5	8	9.200000	8.100000	535.000000	10.200000	3.700000	30.000000	-1.000000	0.100000	0.080000	11.100000	0.500000	-1.000000	0.270000	0.280000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19790612	1979	6	12	17.400000	8.200000	490.000000	8.100000	3.600000	32.000000	-1.000000	0.150000	0.250000	15.100000	0.500000	-1.000000	0.330000	0.550000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	81.000000	6.000000
19790731	1979	7	31	21.100000	8.200000	590.000000	7.800000	2.100000	43.000000	-1.000000	0.100000	0.160000	16.400000	1.500000	-1.000000	0.330000	0.550000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	115.000000	7.000000
19790816	1979	8	16	20.100000	8.100000	566.000000	7.400000	1.800000	-1.000000	-1.000000	0.100000	0.160000	13.700000	1.100000	-1.000000	0.370000	0.530000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19790904	1979	9	4	18.700001	8.100000	603.000000	8.100000	2.100000	-1.000000	-1.000000	0.300000	0.170000	15.100000	4.000000	-1.000000	0.400000	1.100000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19791025	1979	10	25	14.700000	8.000000	626.000000	8.100000	3.000000	-1.000000	-1.000000	0.200000	0.330000	14.600000	1.800000	-1.000000	0.630000	0.850000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19791106	1979	11	6	12.500000	8.000000	635.000000	8.300000	3.300000	-1.000000	-1.000000	0.200000	0.160000	15.500000	0.600000	-1.000000	1.330000	0.900000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800221	1980	2	21	7.200000	8.000000	596.000000	10.500000	2.200000	-1.000000	-1.000000	0.100000	0.080000	14.600000	1.600000	-1.000000	0.330000	0.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800820	1980	8	20	18.200001	7.900000	573.000000	7.100000	-1.000000	-1.000000	-1.000000	0.250000	0.160000	14.600000	1.600000	-1.000000	0.260000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19800916	1980	9	16	17.000000	8.300000	624.000000	8.000000	-1.000000	-1.000000	-1.000000	0.100000	0.450000	15.500000	0.800000	-1.000000	0.200000	0.400000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19801014	1980	10	14	10.700000	8.000000	646.000000	8.800000	-1.000000	-1.000000	-1.000000	0.300000	0.250000	16.500000	2.300000	-1.000000	0.490000	0.550000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19801028	1980	10	28	12.600000	8.000000	566.000000	9.100000	-1.000000	-1.000000	-1.000000	0.250000	0.430000	14.000000	1.700000	-1.000000	0.260000	0.540000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19801119	1980	11	19	9.600000	8.100000	528.000000	8.500000	-1.000000	-1.000000	-1.000000	0.100000	0.130000	15.000000	2.400000	-1.000000	0.520000	0.550000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19810728	1981	7	28	16.100000	8.000000	623.000000	8.200000	3.000000	-1.000000	-1.000000	0.129000	0.230000	16.400000	2.200000	-1.000000	0.229000	0.500000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19810825	1981	8	25	16.200001	8.200000	604.000000	9.100000	2.800000	-1.000000	-1.000000	0.129000	0.164000	12.800000	1.900000	-1.000000	0.327000	0.450000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19811014	1981	10	14	11.000000	7.800000	671.000000	8.600000	2.600000	-1.000000	-1.000000	0.129000	0.098600	11.100000	1.700000	-1.000000	0.817000	0.600000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19811103	1981	11	3	12.300000	7.700000	535.000000	7.400000	2.100000	-1.000000	-1.000000	0.129000	0.197000	7.970000	1.200000	-1.000000	0.163000	0.450000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
19820608	1982	6	8	21.799999	8.500000	651.000000	8.300000	3.900000	-1.000000	-1.000000	0.300000	0.260000	15.000000	1.700000	-1.000000	0.458000	0.550000	35.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	20.000000	-1.000000	-1.000000
