Date	Annee	Mois	jour	TEMP_EAU	pH	COND	O2	DBO5	MES	COD	NH4	NO2	NO3	NKj	SIO	PTO	PO4	SO4	HCO3	CHLA	PheoP	Na	K	Cl	Ca	Mg
19710119	1971	1	19	7.100000	7.600000	624.000000	4.200000	3.500000	17.000000	-1.000000	5.000000	0.700000	12.000000	-1.000000	-1.000000	-1.000000	-1.000000	61.000000	317.000000	-1.000000	-1.000000	-1.000000	-1.000000	36.000000	-1.000000	-1.000000
19710122	1971	1	22	8.500000	8.100000	715.000000	5.700000	4.400000	70.000000	-1.000000	2.200000	1.600000	11.500000	-1.000000	-1.000000	-1.000000	0.900000	66.000000	317.000000	-1.000000	-1.000000	20.000000	6.600000	32.000000	108.000000	19.799999
19710219	1971	2	19	8.000000	8.000000	603.000000	9.400000	4.900000	34.000000	-1.000000	2.600000	0.320000	14.500000	-1.000000	-1.000000	-1.000000	1.100000	46.000000	285.000000	-1.000000	-1.000000	19.000000	4.700000	21.000000	97.699997	9.400000
19710318	1971	3	18	9.600000	7.400000	596.000000	5.400000	2.500000	26.000000	-1.000000	2.900000	0.600000	10.600000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	256.000000	-1.000000	-1.000000	-1.000000	-1.000000	32.000000	-1.000000	-1.000000
19710319	1971	3	19	9.800000	7.800000	655.000000	7.200000	4.600000	13.000000	-1.000000	1.900000	0.640000	16.700001	-1.000000	-1.000000	-1.000000	1.400000	55.000000	298.000000	-1.000000	-1.000000	17.000000	5.000000	27.000000	104.000000	14.400000
19710423	1971	4	23	16.500000	7.400000	631.000000	4.200000	5.000000	14.000000	-1.000000	1.900000	0.960000	8.800000	-1.000000	-1.000000	-1.000000	1.300000	55.000000	298.000000	-1.000000	-1.000000	38.799999	6.200000	25.000000	106.000000	11.100000
19710514	1971	5	14	20.500000	7.700000	625.000000	9.200000	3.600000	23.000000	-1.000000	2.600000	0.640000	7.000000	-1.000000	-1.000000	-1.000000	1.500000	58.000000	281.000000	-1.000000	-1.000000	26.400000	5.500000	30.000000	92.000000	13.100000
19710518	1971	5	18	19.200001	7.400000	561.000000	1.200000	3.000000	34.000000	-1.000000	3.900000	0.400000	3.360000	-1.000000	-1.000000	-1.000000	-1.000000	87.000000	292.000000	-1.000000	-1.000000	-1.000000	-1.000000	34.000000	-1.000000	-1.000000
19710623	1971	6	23	18.000000	7.500000	631.000000	6.200000	5.800000	26.000000	-1.000000	2.600000	0.800000	6.100000	-1.000000	-1.000000	-1.000000	1.500000	62.000000	287.000000	-1.000000	-1.000000	15.400000	5.500000	26.000000	84.000000	13.200000
19710716	1971	7	16	25.000000	8.100000	627.000000	5.200000	5.600000	17.000000	-1.000000	1.300000	0.240000	5.700000	-1.000000	-1.000000	-1.000000	1.700000	69.000000	291.000000	-1.000000	-1.000000	23.600000	5.000000	26.000000	91.199997	9.600000
