Freq	u_1	v_1	u_3	v_3	u_5	v_5	u_10	v_10	u_20	v_20
3	0.0025	0.3495	0.0023	0.2007	0.002	0.1632	0.0022	0.05	0.001841233	0.109477689
5	0.003	0.513	0.0033	0.2847	0.0026	0.2455	0.003	0.08	0.002593848	0.159493607
7	0.0035	0.639	0.004	0.3551	0.0032	0.3108	0.0049	0.06	0.003506498	0.186649182
10	0.0025	0.7841	0.0037	0.4634	0.0034	0.3823	0.0043	0.13	0.002521345	0.299108512
15	0.0005	1.0188	0.0033	0.6202	0.0033	0.5166	0.0076	0.06	0.003296149	0.387719699
20	0	1.1	0.0029	0.7354	0.0029	0.6008	0.0039	0.28	0.003144054	0.441846224
25	0	1.15	0.002	0.879	0.0031	0.7009	0.0018	0.39	0.000828319	0.624311768
30	0	1.2	0	1.1	0	1.01	0	0.58	0	0.759586656
60	0	1.25	0	1.2	0	1.0947	0	0.67	0	0.892007003
