Freq	u_1	v_1	u_3	v_3	u_5	v_5	u_10	v_10	u_20	v_20
3	0	-0.0002	0	-0.0003	0	0.0007	0	-0.010156435	0	-0.00552
5	0	0.0277	0	0.0192	0	0.01	0	0.012437914	0	0.01306
7	0	0.0556	0	0.0336	0	0.018	0	0.003964064	0	0.00334
10	0	0.0828	0	0.0457	0	0.0319	0	0.017625599	0	0.00317
15	0	0.1208	0	0.0786	0	0.057	0	0.031647138	0	-0.00742
20	0	0.1661	0	0.1024	0	0.0853	0	0.047898455	0	-0.00999
25	0	0.2172	0	0.1378	0	0.1068	0	0.071755964	0	0.01056
30	0	0.2554	0	0.1646	0	0.13	0	0.075302385	0	0.03986
60	0	0.419	0	0.2304	0	0.1673	0	0.132000981	0	0.04553
