Date	Annee	Mois	Jour	Qls	Qm3s
19960617	1996	6	17	65800	65.8
19960618	1996	6	18	61800	61.8
19960619	1996	6	19	65500	65.5
19960620	1996	6	20	62400	62.4
19960621	1996	6	21	58900	58.9
19960622	1996	6	22	54800	54.8
19960623	1996	6	23	58100	58.1
19960624	1996	6	24	57800	57.8
19960625	1996	6	25	59800	59.8
19960626	1996	6	26	57000	57
19960627	1996	6	27	54800	54.8
19960628	1996	6	28	49900	49.9
19960629	1996	6	29	55400	55.4
19960630	1996	6	30	55400	55.4
19960701	1996	7	1	55500	55.5
19960702	1996	7	2	56000	56
19960703	1996	7	3	54600	54.6
19960704	1996	7	4	57400	57.4
19960705	1996	7	5	90300	90.3
19960706	1996	7	6	76900	76.9
19960707	1996	7	7	84700	84.7
19960708	1996	7	8	85900	85.9
19960709	1996	7	9	78400	78.4
19960710	1996	7	10	71700	71.7
19960711	1996	7	11	75400	75.4
19960712	1996	7	12	76500	76.5
19960713	1996	7	13	72600	72.6
19960714	1996	7	14	68700	68.7
19960715	1996	7	15	79200	79.2
19960716	1996	7	16	57500	57.5
19960717	1996	7	17	60300	60.3
19960718	1996	7	18	62300	62.3
19960719	1996	7	19	53900	53.9
19960720	1996	7	20	62700	62.7
19960721	1996	7	21	61200	61.2
19960722	1996	7	22	60700	60.7
19960723	1996	7	23	57200	57.2
19960724	1996	7	24	51300	51.3
19960725	1996	7	25	53300	53.3
19960726	1996	7	26	53600	53.6
19960727	1996	7	27	55400	55.4
19960728	1996	7	28	58100	58.1
19960729	1996	7	29	57200	57.2
19960730	1996	7	30	55700	55.7
19960731	1996	7	31	51900	51.9
19960801	1996	8	1	53300	53.3
19960802	1996	8	2	51900	51.9
19960803	1996	8	3	46400	46.4
19960804	1996	8	4	49900	49.9
19960805	1996	8	5	54000	54
19960806	1996	8	6	56300	56.3
19960807	1996	8	7	52200	52.2
19960808	1996	8	8	56600	56.6
19960809	1996	8	9	56500	56.5
19960810	1996	8	10	61500	61.5
19960811	1996	8	11	60400	60.4
19960812	1996	8	12	79200	79.2
19960813	1996	8	13	73400	73.4
19960814	1996	8	14	68200	68.2
19960815	1996	8	15	71600	71.6
19960816	1996	8	16	68500	68.5
19960817	1996	8	17	64700	64.7
19960818	1996	8	18	64200	64.2
